人物名称	人物类型	资源文件路经	部件说明文件名	武器行为关联表1	武器行为关联表2	动作贴图顺序表	头部	发型	肩膀	躯体	左手	右手	左手武器	右手武器	马前	马中	马后
npc050111006	普通npc	spr\npcres\event\npc050111006															
npc050111007	普通npc	spr\npcres\event\npc050111007															
npc050111008	普通npc	spr\npcres\event\npc050111008															
npc050111009	普通npc	spr\npcres\event\npc050111009															
npc050111010	普通npc	spr\npcres\event\npc050111010															
npc050111011	普通npc	spr\npcres\event\npc050111011															
npc050111012	普通npc	spr\npcres\event\npc050111012															
boss003	普通npc	spr\npcres\boss\boss003															
boss004	普通npc	spr\npcres\boss\boss004															
boss007	普通npc	spr\npcres\boss\boss007															
boss009	普通npc	spr\npcres\boss\boss009															
boss013	普通npc	spr\npcres\boss\boss013															
boss017	普通npc	spr\npcres\boss\boss017															
boss019	普通npc	spr\npcres\boss\boss019															
boss022	普通npc	spr\npcres\boss\boss022															
boss023	普通npc	spr\npcres\boss\boss023															
boss024	普通npc	spr\npcres\boss\boss024															
passerby201	普通npc	spr\skill\gongcheng															
boss010	普通npc	spr\npcres\boss\boss010															
passerby202	普通npc	spr\obj\box															
boss016	普通npc	spr\npcres\boss\boss016															
boss020	普通npc	spr\npcres\boss\boss020															
boss025	普通npc	spr\npcres\boss\boss025															
boss026	普通npc	spr\npcres\boss\boss026															
boss027	普通npc	spr\npcres\boss\boss027															
boss028	普通npc	spr\npcres\boss\boss028															
boss029	普通npc	spr\npcres\boss\boss029															
boss030	普通npc	spr\npcres\boss\boss030															
boss031	普通npc	spr\npcres\boss\boss031															
boss032	普通npc	spr\npcres\boss\boss032															
passerby203	普通npc	spr\item\mid_autumn															
boss033	普通npc	spr\npcres\boss\boss033															
boss034	普通npc	spr\npcres\boss\boss034															
boss035	普通npc	spr\npcres\boss\boss035															
boss036	普通npc	spr\npcres\boss\boss036															
boss037	普通npc	spr\npcres\boss\boss037															
boss038	普通npc	spr\npcres\boss\boss038															
boss039	普通npc	spr\npcres\boss\boss039															
boss040	普通npc	spr\npcres\boss\boss040															
boss041	普通npc	spr\npcres\boss\boss041															
boss042	普通npc	spr\npcres\boss\boss042															
passerby204	普通npc	spr\npcres\passerby\passerby204															
passerby205	普通npc	spr\npcres\passerby\passerby205															
passerby206	普通npc	spr\npcres\passerby\passerby206															
passerby207	普通npc	spr\npcres\passerby\passerby207															
boss043	普通npc	spr\npcres\boss\boss043															
boss044	普通npc	spr\npcres\boss\boss044															
boss045	普通npc	spr\npcres\boss\boss045															
ani068	普通npc	spr\npcres\animal\ani068															
ani069	普通npc	spr\npcres\animal\ani069															
enemy209	普通npc	spr\npcres\enemy\enemy209															
enemy210	普通npc	spr\npcres\enemy\enemy210															
enemy211	普通npc	spr\npcres\enemy\enemy211															
enemy212	普通npc	spr\npcres\enemy\enemy212															
enemy213	普通npc	spr\npcres\enemy\enemy213															
enemy214	普通npc	spr\npcres\enemy\enemy214															
enemy215	普通npc	spr\npcres\enemy\enemy215															
enemy216	普通npc	spr\npcres\enemy\enemy216															
enemy217	普通npc	spr\npcres\enemy\enemy217															
enemy218	普通npc	spr\npcres\enemy\enemy218															
enemy219	普通npc	spr\npcres\enemy\enemy219															
enemy220	普通npc	spr\npcres\enemy\enemy220															
enemy221	普通npc	spr\npcres\enemy\enemy221															
enemy222	普通npc	spr\npcres\enemy\enemy222															
enemy223	普通npc	spr\npcres\enemy\enemy223															
enemy224	普通npc	spr\npcres\enemy\enemy224															
passerby208	普通npc	spr\npcres\passerby\passerby208															
passerby209	普通npc	spr\npcres\passerby\passerby209															
passerby210	普通npc	spr\npcres\passerby\passerby210															
passerby211	普通npc	spr\npcres\passerby\passerby211															
passerby212	普通npc	spr\obj\prop															
passerby213	普通npc	spr\obj\signpost															
building1	普通npc	spr\npcres\building															
building2	普通npc	spr\npcres\building															
building3	普通npc	spr\npcres\building															
building4	普通npc	spr\npcres\building															
building5	普通npc	spr\npcres\building															
building6	普通npc	spr\npcres\building															
building7	普通npc	spr\npcres\building															
passerby214	普通npc	spr\obj\prop															
passerby215	普通npc	spr\obj\prop															
building8	普通npc	spr\npcres\building															
building9	普通npc	spr\npcres\building															
building10	普通npc	spr\npcres\building															
building11	普通npc	spr\npcres\building															
building12	普通npc	spr\npcres\building															
building13	普通npc	spr\npcres\building															
building14	普通npc	spr\npcres\building															
building15	普通npc	spr\npcres\building															
building16	普通npc	spr\npcres\building															
building17	普通npc	spr\npcres\building															
building18	普通npc	spr\npcres\building															
building19	普通npc	spr\npcres\building															
building20	普通npc	spr\npcres\building															
building21	普通npc	spr\npcres\building															
building22	普通npc	spr\npcres\building															
building23	普通npc	spr\npcres\building															
building24	普通npc	spr\npcres\building															
building25	普通npc	spr\npcres\building															
building26	普通npc	spr\npcres\building															
building27	普通npc	spr\npcres\building															
building28	普通npc	spr\npcres\building															
building29	普通npc	spr\npcres\building															
building30	普通npc	spr\npcres\building															
building31	普通npc	spr\npcres\building															
building32	普通npc	spr\npcres\building															
building33	普通npc	spr\npcres\building															
building34	普通npc	spr\npcres\building															
building35	普通npc	spr\npcres\building															
boss046	普通npc	spr\npcres\boss\boss046															
boss047	普通npc	spr\npcres\boss\boss047															
boss048	普通npc	spr\npcres\boss\boss048															
boss049	普通npc	spr\npcres\boss\boss049															
boss050	普通npc	spr\npcres\boss\boss050															
boss051	普通npc	spr\npcres\boss\boss051															
boss052	普通npc	spr\npcres\boss\boss052															
boss053	普通npc	spr\npcres\boss\boss053															
boss054	普通npc	spr\npcres\boss\boss054															
boss055	普通npc	spr\npcres\boss\boss055															
building36	普通npc	spr\npcres\building															
building37	普通npc	spr\npcres\building															
item001	普通npc	spr\obj\item\															
boss056	普通npc	spr\npcres\boss\boss056															
boss057	普通npc	spr\npcres\boss\boss057															
item002	普通npc	spr\item\vietnam\midautumn06															
item003	普通npc	spr\item\vietnam\midautumn06															
item004	普通npc	spr\item\vietnam\midautumn06															
item005	普通npc	spr\item\vietnam\midautumn06															
item006	普通npc	spr\item\vietnam\midautumn06															
item007	普通npc	spr\item\vietnam\midautumn06															
boss058	普通npc	spr\npcres\boss\boss058															
boss059	普通npc	spr\npcres\boss\boss059															
boss060	普通npc	spr\npcres\boss\boss060															
boss061	普通npc	spr\npcres\boss\boss061															
boss062	普通npc	spr\npcres\boss\boss062															
boss063	普通npc	spr\npcres\boss\boss063															
boss064	普通npc	spr\npcres\boss\boss064															
boss065	普通npc	spr\npcres\boss\boss065															
boss066	普通npc	spr\npcres\boss\boss066															
boss067	普通npc	spr\npcres\boss\boss067															
passerby216	普通npc	spr\npcres\passerby\passerby216															
passerby217	普通npc	spr\obj\item															
boss068	普通npc	spr\npcres\boss\boss068															
passerby218	普通npc	spr\npcres\passerby\passerby218															
passerby219	普通npc	spr\npcres\passerby\passerby219															
passerby220	普通npc	spr\npcres\passerby\passerby220															
passerby221	普通npc	spr\npcres\passerby\passerby221															
passerby222	普通npc	spr\npcres\passerby\passerby222															
passerby223	普通npc	spr\npcres\passerby\passerby223															
passerby224	普通npc	spr\npcres\passerby\passerby224															
passerby225	普通npc	spr\npcres\passerby\passerby225															
passerby226	普通npc	spr\npcres\passerby\passerby226															
passerby227	普通npc	spr\npcres\passerby\passerby227															
passerby228	普通npc	spr\npcres\passerby\passerby228															
passerby229	普通npc	spr\npcres\passerby\passerby229															
passerby230	普通npc	spr\npcres\passerby\passerby230															
passerby231	普通npc	spr\npcres\passerby\passerby231															
passerby232	普通npc	spr\npcres\passerby\passerby232															
passerby233	普通npc	spr\npcres\passerby\passerby233															
passerby234	普通npc	spr\npcres\passerby\passerby234															
passerby235	普通npc	spr\npcres\passerby\passerby235															
passerby236	普通npc	spr\npcres\passerby\passerby236															
passerby237	普通npc	spr\obj\item															
boss069	普通npc	spr\npcres\boss\boss069															
boss070	普通npc	spr\npcres\boss\boss070															
boss071	普通npc	spr\npcres\boss\boss071															
boss072	普通npc	spr\npcres\boss\boss072															
boss073	普通npc	spr\npcres\boss\boss073															
boss074	普通npc	spr\npcres\boss\boss074															
boss075	普通npc	spr\npcres\boss\boss075															
boss076	普通npc	spr\npcres\boss\boss076															
enemy225	普通npc	spr\npcres\enemy\enemy225
passerby238	普通npc	spr\npcres\passerby\passerby238	
passerby239	普通npc	spr\npcres\passerby\passerby239	
enemy226	普通npc	spr\npcres\enemy\enemy226
