Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
MÆt N¹ Hoµng Kim [+2]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		4000000	95	0		1424	1424	31	400	400																												1	39	5	4	205	2	2															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	96	0		1415	1415	31	600	600																												1	39	5	4	155	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	97	0		1416	1416	31	600	600																												1	39	5	4	156	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	98	0		1417	1417	31	600	600																												1	39	5	4	157	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	99	0		1418	1418	31	600	600																												1	39	5	4	158	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	100	0		1419	1419	31	600	600																												1	39	5	4	159	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	101	0		1420	1420	31	600	600																												1	39	5	4	113	30	30	110	30	30	106	30	30	108	30	30						
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	102	0		1421	1421	31	600	600																												1	39	5	4	85	200	200	111	30	30	89	200	200									
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	103	0		1422	1422	31	600	600																												1	39	5	4	114	20	20															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	104	0		1423	1423	31	600	600																												1	39	5	4	115	35	35	116	15	15												
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	105	0		1424	1424	31	600	600																												1	39	5	4	205	3	3															
TiÓu Tinh Linh	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	106	0		680	680																																																				
¤ng Giµ Noel	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	107	0		685	685																																																				
