????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
GiÊy kiÕng cam (VËt liÖu lµm lång ®Ìn)	4	127	\spr\item\vietnam\midautumn06\paper_orange.spr	432	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
Hoµng Kim S¸t	4	128	\spr\item\questkey\obj_item_herokey3.spr	385	1	1	Sö dông ë b¶n ®å luyÖn c«ng. T¹o ra 1 Boss TiÓu Hoµng Kim	0	1	
LÖnh Bµi Boss Kú L©n	4	129	\spr\item\questkey\obj_item_herokey3.spr	385	1	1	Sö dông ë b¶n ®å luyÖn c«ng. T¹o ra 1 Boss Kú L©n §á ®Ó s¨n nh÷ng m«n trang bŞ xanh quı hiÕm	0	1	
S¸t Thñ LÖnh	4	130	\spr\item\questkey\taskobj126.spr	336	1	1	"Ngò hµnh:: <color=yellow>Kim <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	0	1	
S¸t Thñ LÖnh	4	131	\spr\item\questkey\taskobj126.spr	336	1	1	"Ngò hµnh: <color=wood>Méc <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	0	1	
S¸t Thñ LÖnh	4	132	\spr\item\questkey\taskobj126.spr	336	1	1	"Ngò hµnh: <color=blue>Thuû <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	0	1	
S¸t Thñ LÖnh	4	133	\spr\item\questkey\taskobj126.spr	336	1	1	"Ngò hµnh: <color=fire>Háa <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	0	1	
S¸t Thñ LÖnh	4	134	\spr\item\questkey\taskobj126.spr	336	1	1	"Ngò hµnh: <color=earth>Thæ <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	0	1	
LÖnh Bµi Phong L¨ng §é	4	135	\spr\item\questkey\taskobj126.spr	385	1	1	Chµo mõng ngµy ®Êt n­íc ®­îc gi¶i phãng	0	1	
Thanh Tre	4	136	\spr\item\vietnam\midautumn06\bamboo.spr	333	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 17:00 ngµy 31-03-2021<color>	1	1	
D©y cãi (VËt liÖu lµm lång ®Ìn)	4	137	\spr\item\vietnam\midautumn06\tiesi.spr	333	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
NÕn (VËt liÖu lµm lång ®Ìn)	4	138	\spr\item\vitenambirthday\candle004.spr	333	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
Lång ®Ìn b­¬m b­ím ®Æc biÖt	4	139	\spr\item\vietnam\midautumn06\lantern_yello.spr	451	1	1	VËt phÈm chØ sö dông trong sù kiÖn §ªm R¨m Trung Thu	1	1	
Lång ®Ìn ng«i sao ®Æc biÖt	4	140	\spr\item\vietnam\midautumn06\lantern_blue.spr	452	1	1	VËt phÈm chØ sö dông trong sù kiÖn §ªm R¨m Trung Thu	1	1	
Lång ®Ìn èng ®Æc biÖt	4	141	\spr\item\vietnam\midautumn06\lantern_green.spr	453	1	1	VËt phÈm chØ sö dông trong sù kiÖn §ªm R¨m Trung Thu	1	1	
Lång ®Ìn trßn ®Æc biÖt	4	142	\spr\item\vietnam\midautumn06\lantern_red.spr	454	1	1	VËt phÈm chØ sö dông trong sù kiÖn §ªm R¨m Trung Thu	1	1	
Lång ®Ìn c¸ chĞp ®Æc biÖt	4	143	\spr\item\vietnam\midautumn06\lantern_orange.spr	455	1	1	VËt phÈm chØ sö dông trong sù kiÖn §ªm R¨m Trung Thu	1	1	
R­¬ng B¶o VËt	4	144	\spr\item\script\item_goldenbox.spr	367	2	2	<color=red>Më ra ngÉu nhiªn nhËn ®­îc:<color><enter>- Thñy Tinh<enter>- Bİ Kİp Th¨ng CÊp An Bang<enter>- Bİ Kİp 120<enter>- An Bang<enter>- §Şnh Quèc	1	1	
B¸nh trung thu th­êng	4	145	\spr\item\vietnam\midautumn06\mooncake_1.spr	430	1	1	Dïng ®Ó ghĞp B¸nh Trung Thu §Ëu Xanh	1	1	
B¸nh trung thu ®Ëu xanh	4	146	\spr\item\vietnam\midautumn06\mooncake_2.spr	430	1	1	Sö dông sÏ nhËn ®­îc rÊt nhiÒu phÇn th­ëng gi¸ trŞ 	1	1	
B¸nh trung thu nh©n trøng	4	147	\spr\item\vietnam\midautumn06\mooncake_3.spr	430	1	1	Sö dông sÏ nhËn ®­îc rÊt nhiÒu phÇn th­ëng gi¸ trŞ 	1	1	
B¸nh trung thu ®Æc biÖt	4	148	\spr\item\vietnam\midautumn06\mooncake_4.spr	430	1	1	Sö dông sÏ nhËn ®­îc rÊt nhiÒu phÇn th­ëng gi¸ trŞ 	1	1	
B¸nh trung thu h¹t sen	4	149	\spr\item\vietnam\midautumn06\mooncake_5.spr	430	1	1	Sö dông sÏ nhËn ®­îc rÊt nhiÒu phÇn th­ëng gi¸ trŞ 	1	1	
V­ît ¶I LÔ Bao	4	150	\spr\thanh\vuotai.spr	41	1	1	PhÇn th­ëng ®Æc biÖt khi tham gia V­ît ¶i	1	1	
S¸t Thñ Gi¶n	4	151	\spr\item\questkey\taskobj033.spr	41	1	2	"Ngò hµnh:: <color=yellow>Kim <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	1	1	
S¸t Thñ Gi¶n	4	152	\spr\item\questkey\taskobj033.spr	41	1	2	"Ngò hµnh: <color=wood>Méc <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	1	1	
S¸t Thñ Gi¶n	4	153	\spr\item\questkey\taskobj033.spr	41	1	2	"Ngò hµnh: <color=blue>Thuû <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	1	1	
S¸t Thñ Gi¶n	4	154	\spr\item\questkey\taskobj033.spr	41	1	2	"Ngò hµnh: <color=fire>Háa <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	1	1	
S¸t Thñ Gi¶n	4	155	\spr\item\questkey\taskobj033.spr	41	1	2	"Ngò hµnh: <color=earth>Thæ <color><enter>""LÖnh b¶i chøng minh m×nh lµ 1 s¸t thñ chuyªn nghiÖp"""	1	1	
LÖnh Bµi Liªn Hoµn Ai	4	156	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	VËt phÈm ®Ó tham gia sù kiÖn <color=red>V­ît ¶I <color>	1	1	
Hép Quµ Gi¸ng Sinh	4	157	\spr\item\vnxmas2007\shengdanglihe.spr	341	1	1	Më ra nhËn ®­îc nguyªn liÖu lµm Ng­êi TuyÕt	1	1	
N÷ Nhi Hång	4	158	\spr\item\questkey\taskobj084.spr	41	1	1	"Loai ruou giup gia tang nguyen khi, su dung nhan doi (x2) kinh nghiem ki nang tu luyen trong <color=green>30 phut"	0	1	
Kim Thien Tuu	4	159	\spr\item\questkey\taskobj084.spr	41	1	1	"Loai ruou giup gia tang nguyen khi, su dung nhan doi (x2) kinh nghiem ki nang tu luyen trong <color=fire>60 phut"	0	1	
Nguoi Tuyet Dac Biet	4	160	\spr\item\christmas2006\snowman_normal.spr	41	1	1	<color=pink>Nguoi Tuyet Dac Biet <color>: Khi su dung se nhan duoc random 2.000.000 -> 8.000.000 kinh nghiem	0	1	
Thiªn S¬n TuyÕt Liªn	4	161	\spr\item\script\tianshanxuelian.spr	445	1	1	"Lo¹i hoa trªn nói C­¬ng S¬n, t¸c dông ®· th«ng kinh m¹ch cho ng­êi ch­a trïng sinh"	0	1	
<color=fire>Thien Son Ngan Nam <color>	4	162	\spr\item\script\tianshanxuelian.spr	445	1	1	"Loai linh duoc ngan nam, hiem co, su dung nhan duoc 1.200.000.000 kinh nghiem cong don"	0	1	
ThuyÒn Rång	4	163	\spr\item\questkey\dragonboat.spr	41	2	1	"ThuyÒn Rång hoµn tÊt, cã thÓ tham gia sù kiÖn §ua ThuyÒn T©n Thñ"	1	1	
Nh¹c V­¬ng KiÕm	4	164	\spr\item\questkey\ÔÀÍõ½£.spr	9	2	3	Nh¹c v­¬ng kiÕm dïng ®Ó khëi t¹o bang héi	0	1	
Nh¹c V­¬ng Hån Th¹ch	4	165	\spr\item\questkey\taskobj105.spr	333	1	1	Nh¹c v­¬ng hån th¹ch tİch luü 50 viªn ®Ó ®æi nh¹c v­¬ng kiÕm	1	1	
LÖnh Bµi C«ng Thµnh ChiÕn	4	166	\spr\item\vietnam\tiaozhanling.spr	333	1	1	<color=fire>Tİn vËt tham gia C«ng Thµnh ChiÕn - Phe C«ng	0	1	
Ngäc C­êng Hãa Cao CÊp	4	167	\spr\item\script\item_xuantiekuang.spr	333	1	1	VËt phÈm dïng ®Ó kh¶m vµo trang bŞ xanh. Gióp t¨ng c­êng hãa cña trang bŞ 	0	2	
Khæng T­íc Nguyªn Th¹ch	4	168	\spr\item\script\item_kongqueshi.spr	333	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ"	0	2	
MËt Ng©n Kho¸ng	4	169	\spr\item\script\item_miyinkuang.spr	333	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh hiÖn 2<color> trªn trang bŞ"	0	2	
Phï Dung Nguyªn Th¹ch	4	170	\spr\item\script\item_furongshi.spr	333	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ"	0	2	
Chu Sa Nguyªn Kho¸ng	4	171	\spr\item\script\item_zhushakuang.spr	333	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh hiÖn 3<color> trªn trang bŞ"	0	2	
Chung Nhò Nguyªn Th¹ch	4	172	\spr\item\script\item_zhongrushi.spr	333	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 3<color> trªn trang bŞ"	0	2	
Phóc Duyªn TiÓu	4	173	\spr\item\medecine\fuyuanlu_small.spr	370	1	1	"Dïng ®Ó t¨ng ®iÓm phóc duyªn, khi sö dông nh©n ®­îc <color=green>10 diem <color> phóc duyªn"	0	1	
Phóc Duyªn Trung	4	174	\spr\item\medecine\fuyuanlu_middle.spr	370	1	1	"Dïng ®Ó t¨ng ®iÓm phóc duyªn, khi sö dông nh©n ®­îc <color=green>20 diem <color> phóc duyªn"	0	1	
Phóc Duyªn §¹i	4	175	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	"Dïng ®Ó t¨ng ®iÓm phóc duyªn, khi sö dông nh©n ®­îc <color=green>50 diem <color> phóc duyªn"	0	1	
Do Pho Am Khi (Bach Kim)	4	176	\spr\item\questkey\taskobj092-1.spr	424	1	1	"<color=fire>Nguyen Lieu: <color> 1 Huyen Tinh, 1 Bi Kip Mon Phai, 6 vien Tinh Hong Bao Thach, 1 Lien Hoa, 1 Phoi Am Khi"	0	1	
§¹i Thµnh Bi Kip 90	4	177	\spr\item\questkey\quyuanmifang.spr	41	1	1	Sö dông ®Ò thµnh thôc tÊt c¶ kü n¨ng 90 cña m«n ph¸i.	0	1	
GiÊy Tr¾ng	4	178	\spr\item\questkey\yinpiao.spr	41	1	1	Nguyªn liÖu viÕt nªn nh÷ng cuèn s¸ch hay tÆng thÇy c« nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color>	1	1	
C©y ViÕt	4	179	\spr\item\nhagiao\cayviet.spr	41	1	1	Nguyªn liÖu viÕt nªn nh÷ng cuèn s¸ch hay tÆng thÇy c« nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color>	1	1	
Côc TÈy	4	180	\spr\item\nhagiao\cuctay.spr	41	1	1	Nguyªn liÖu viÕt nªn nh÷ng cuèn s¸ch hay tÆng thÇy c« nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color>	1	1	
Hép Mùc Mµu §en	4	181	\spr\item\nhagiao\hopmucmauden.spr	41	1	1	Nguyªn liÖu viÕt nªn nh÷ng cuèn s¸ch hay tÆng thÇy c« nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color>	1	1	
Hép Mùc Mµu Xanh	4	182	\spr\item\nhagiao\hopmucmauxanh.spr	41	1	1	Nguyªn liÖu viÕt nªn nh÷ng cuèn s¸ch hay tÆng thÇy c« nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color>	1	1	
Cuèn S¸ch Xanh	4	183	\spr\item\nhagiao\cuonsachxanh.spr	41	1	1	PhÇn th­ëng nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color><enter>NhÊp chuét ph¶i ®Ó nhËn kinh nghiÖm	1	1	
Cuèn S¸ch Vµng	4	184	\spr\item\nhagiao\cuonsachvang.spr	41	1	1	PhÇn th­ëng nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color><enter>NhÊp chuét ph¶i ®Ó nhËn kinh nghiÖm	1	1	
Cuèn S¸ch Tİm	4	185	\spr\item\nhagiao\cuonsachtim.spr	41	1	1	PhÇn th­ëng nh©n ngµy <color=red>Nhµ Gi¸o ViÖt Nam<color><enter>NhÊp chuét ph¶i ®Ó nhËn kinh nghiÖm	1	1	
Tói MÆt N¹ nhá	4	186	\spr\item\questkey\pdtt.spr	330	1	1	Më ra sÏ nhËn ®­îc 1 <color=yellow>MÆt N¹ NgÉu Nhiªn [HSD: 1 Th¸ng]<color>	0	1	
Tói MÆt N¹ võa	4	187	\spr\item\questkey\pdtt.spr	330	1	1	Më ra sÏ nhËn ®­îc 1 <color=yellow>MÆt N¹ NgÉu Nhiªn<color> víi ®é bÒn cao	0	1	
Tói MÆt N¹ lín	4	188	\spr\item\questkey\pdtt.spr	330	1	1	Më ra sÏ nhËn ®­îc 1 <color=yellow>MÆt N¹ Tù Chän [HSD: 1 Th¸ng]<color>	0	1	
Tói Ngäc S¬ CÊp	4	189	\spr\item\questkey\seed_lucky.spr	380	1	1	Më ra sÏ nhËn ®­îc 1 viªn Ngäc ngÉu nhiªn	1	1	
Tói Ngäc Trung CÊp	4	190	\spr\item\questkey\seed_rose.spr	380	1	1	Më ra sÏ nhËn ®­îc 1 viªn Ngäc ngÉu nhiªn	1	1	
Tói Ngäc Cao CÊp	4	191	\spr\item\questkey\seed_crystal.spr	380	1	1	Më ra sÏ nhËn ®­îc 1 viªn Ngäc ngÉu nhiªn	1	1	
Tói Ngäc HiÕm	4	192	\spr\item\questkey\seed_gold.spr	380	1	1	Më ra sÏ nhËn ®­îc 1 viªn Ngäc ngÉu nhiªn	1	1	
N­íc T­íi C©y	4	193	\spr\thanh\batsau.spr	341	1	1	Lo¹i nguyªn liÖu gióp ph¸t triÓn c©y trång	1	1	
Ph©n Bãn	4	194	\spr\thanh\bonphan.spr	341	1	1	Lo¹i nguyªn liÖu gióp ph¸t triÓn c©y trång	1	1	
Thuèc Trõ S©u	4	195	\spr\item\newyear2008\lvdou.spr	347	1	1	Lo¹i nguyªn liÖu gióp ph¸t triÓn c©y trång.	1	1	
Kim Liªn hoa 	4	196	\spr\item\yulanpenjie\jinlianhua.spr	443	1	1	Thu thËp thËt nhiÒu ®Ó kÕt thµnh nh÷ng Vßng Hoa thËt ®Ñp	1	1	
Méc Liªn Hoa	4	197	\spr\item\yulanpenjie\mulianhua.spr	444	1	1	Thu thËp thËt nhiÒu ®Ó kÕt thµnh nh÷ng Vßng Hoa thËt ®Ñp	1	1	
Thñy Liªn Hoa	4	198	\spr\item\yulanpenjie\shuilianhua.spr	445	1	1	Thu thËp thËt nhiÒu ®Ó kÕt thµnh nh÷ng Vßng Hoa thËt ®Ñp	1	1	
Háa Liªn Hoa	4	199	\spr\item\yulanpenjie\huolianhua.spr	446	1	1	Thu thËp thËt nhiÒu ®Ó kÕt thµnh nh÷ng Vßng Hoa thËt ®Ñp	1	1	
Thæ Liªn Hoa	4	200	\spr\item\yulanpenjie\tulianhua.spr	447	1	1	Thu thËp thËt nhiÒu ®Ó kÕt thµnh nh÷ng Vßng Hoa thËt ®Ñp	1	1	
Vßng Kim Liªn Hoa	4	201	\spr\item\yulanpenjie\jinlianhuahuan.spr	41	2	1	Sö dông ®Ó nhËn ®­îc nhiÒu phÇn th­ëng gi¸ trŞ	1	1	
Vßng Méc Liªn Hoa	4	202	\spr\item\yulanpenjie\mulianhuahuan.spr	41	2	1	Sö dông ®Ó nhËn ®­îc nhiÒu phÇn th­ëng gi¸ trŞ	1	1	
Vßng Thñy Liªn Hoa	4	203	\spr\item\yulanpenjie\shuilianhuahuan.spr	41	2	1	Sö dông ®Ó nhËn ®­îc nhiÒu phÇn th­ëng gi¸ trŞ	1	1	
Vßng Háa Liªn Hoa	4	204	\spr\item\yulanpenjie\huolianhuahuan.spr	41	2	1	Sö dông ®Ó nhËn ®­îc nhiÒu phÇn th­ëng gi¸ trŞ	1	1	
Vßng Thæ Liªn Hoa	4	205	\spr\item\yulanpenjie\tulianhuahuan.spr	41	2	1	Sö dông ®Ó nhËn ®­îc nhiÒu phÇn th­ëng gi¸ trŞ	1	1	
Ngò S¾c B¨ng Tinh	4	206	\spr\item\vnxmas2007\wuse_bingjin.spr	41	1	1	VËt phÈm mang ®Õn may m¾n cho ng­êi gi÷ nã	1	1	
M·nh Bao Tay Hoµng Kim (1/6)	4	207	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Bao Tay Hoµng Kim (2/6)	4	208	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Bao Tay Hoµng Kim (3/6)	4	209	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Bao Tay Hoµng Kim (4/6)	4	210	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Bao Tay Hoµng Kim (5/6)	4	211	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Bao Tay Hoµng Kim (6/6)	4	212	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Th¾t L­ng Hoµng Kim (1/6)	4	213	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Th¾t L­ng Hoµng Kim (2/6)	4	214	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Th¾t L­ng Hoµng Kim (3/6)	4	215	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Th¾t L­ng Hoµng Kim (4/6)	4	216	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Th¾t L­ng Hoµng Kim (5/6)	4	217	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Th¾t L­ng Hoµng Kim (6/6)	4	218	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Giµy Hoµng Kim (1/6)	4	219	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Giµy Hoµng Kim (2/6)	4	220	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Giµy Hoµng Kim (3/6)	4	221	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Giµy Hoµng Kim (4/6)	4	222	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Giµy Hoµng Kim (5/6)	4	223	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Giµy Hoµng Kim (6/6)	4	224	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh D©y ChuyÒn Hoµng Kim (1/6)	4	225	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh D©y ChuyÒn Hoµng Kim (2/6)	4	226	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh D©y ChuyÒn Hoµng Kim (3/6)	4	227	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh D©y ChuyÒn Hoµng Kim (4/6)	4	228	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh D©y ChuyÒn Hoµng Kim (5/6)	4	229	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh D©y ChuyÒn Hoµng Kim (6/6)	4	230	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Ngäc Béi Hoµng Kim (1/6)	4	231	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Ngäc Béi Hoµng Kim (2/6)	4	232	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Ngäc Béi Hoµng Kim (3/6)	4	233	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Ngäc Béi Hoµng Kim (4/6)	4	234	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Ngäc Béi Hoµng Kim (5/6)	4	235	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh Ngäc Béi Hoµng Kim (6/6)	4	236	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (1/6)	4	237	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (2/6)	4	238	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (3/6)	4	239	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (4/6)	4	240	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
