????	???????¨¤	?????¨¤¡À?	?¨º???¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	????????	????	????	??¡¤???¡¤?	?¨´??????1?¨¤??	?¨´??????1¡Á?????	?¨´??????1¡Á??¨®??	?¨´??????2?¨¤??	?¨´??????2¡Á?????	?¨´??????2¡Á??¨®??	?¨´??????3?¨¤??	?¨´??????3¡Á?????	?¨´??????3¡Á??¨®??	?¨´??????4?¨¤??	?¨´??????4¡Á?????	?¨´??????4¡Á??¨®??	?¨´??????5?¨¤??	?¨´??????5¡Á?????	?¨´??????5¡Á??¨®??	?¨´??????6?¨¤??	?¨´??????6¡Á?????	?¨´??????6¡Á??¨®??	?¨´??????7?¨¤??	?¨´??????7¡Á?????	?¨´??????7¡Á??¨®??	?¨¨?¨®????1?¨¤??	?¨¨?¨®????1????	?¨¨?¨®????2?¨¤??	?¨¨?¨®????2????	?¨¨?¨®????3?¨¤??	?¨¨?¨®????3????	?¨¨?¨®????4?¨¤??	?¨¨?¨®????4????	?¨¨?¨®????5?¨¤??	?¨¨?¨®????5????	?¨¨?¨®????6?¨¤??	?¨¨?¨®????6????
Tuyet Dia [Cap 4]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	4	0	111	100%	100%	30	500	500																36	150										
Tuyet Dia [Cap 5]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	5	0	111	100%	100%	30	500	500																36	150										
Tuyet Dia [Cap 6]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	6	0	111	100%	100%	30	500	500																36	150										
Tuyet Dia [Cap 7]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	7	0	111	100%	100%	30	500	500																36	150										
Tuyet Dia [Cap 8]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	8	0	111	100%	100%	30	500	500																36	150										
Tuyet Dia [Cap 9]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	9	0	111	100%	100%	30	500	500																36	150										
Tuyet Dia [Cap 10]	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, chan khong cham dat."	5	2500000	10	0	111	100%	100%	30	500	500																36	150										
TuyÖt ThÕ Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	1	0	111	150%	150%	30	500	500	85	1000	1000	114	5	5										36	130	46	1								
Du Huy [Cap 2]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	2	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 3]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	3	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 4]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	4	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 5]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	5	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 6]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	6	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 7]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	7	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 8]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	8	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 9]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	9	0	111	100%	100%	30	800	800																36	130	46	1								
Du Huy [Cap 10]	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, mau sac sac so."	5	2500000	10	0	111	100%	100%	30	800	800																36	130	46	1								
Dang Vu [Cap 1]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	1	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 2]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	2	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 3]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	3	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 4]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	4	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 5]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	5	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 6]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	6	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 7]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	7	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 8]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	8	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 9]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	9	0	111	100%	100%	30	500	500																36	150										
Dang Vu [Cap 10]	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, di may ve gio"	5	2500000	10	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 1]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	1	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 2]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	2	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 3]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	3	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 4]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	4	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 5]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	5	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 6]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	6	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 7]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	7	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 8]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	8	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 9]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	9	0	111	100%	100%	30	500	500																36	150										
Sieu Quang [Cap 10]	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mot trong bat tuan cua Chu Muc Vuong, thoat an thoat hien."	5	2500000	10	0	111	100%	100%	30	500	500																36	150										
