Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
LiÔu DiÖp §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"Lo¹i ®ao cùc máng, tèc ®é rÊt nhanh. "		40	63	1	28	14	14	29	30	30	167	-20	-20	31	50	50										36	18	32	39	33	50							2		3																			
Nh¹n VÜ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"Th©n nhá vµ dµi, rÊt khã sö dông, cÇn ph¶i cã tr×nh ®é nhÊt ®Þnh míi cã thÓ dïng. "		60	64	1	28	17	17	29	38	38	167	-20	-20	31	50	50										36	27	32	49	33	60							2		4																			
§¸iY §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"ChÕ t¹o tõ hîp kim, sö dông ®¬n gi¶n, søc s¸t th­¬ng lín. "		80	65	1	28	21	21	29	46	46	167	-20	-20	31	50	50										36	36	32	59	33	70							2		5																			
§µo Hoa §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao nhá vµ máng. 		100	66	1	28	25	25	29	56	56	167	-20	-20	31	50	50										36	45	32	69	33	80							2		6																			
Quang C¸n §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	"Lo¹i phi ®ao kh«ng cã chu«i, chØ dïng ch­ëng lùc ®Ó phãng ®i, rÊt khã sö dông. "		140	67	1	28	29	29	29	65	65	167	-20	-20	31	50	50										36	54	32	79	33	90							2		7																			
T©m ý §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	"Tïy ý mµ phãng, b¸ch ph¸t b¸ch tróng, lµ lo¹i ¸m khÝ rÊt h÷u dông"		180	68	1	28	33	33	29	74	74	167	-20	-20	31	50	50										36	63	32	89	33	100							2		8																			
§éc C¬ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao th«ng th­êng nh­ng cã tÈm thuèc ®éc. 		300	69	1	28	36	36	29	83	83	167	-20	-20	31	50	50										36	72	32	99	33	110							2		9																			
To¸i NguyÖt §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	"Lo¹i phi ®ao nhá vµ máng, phãng ra gièng nh­ v« h×nh. "		330	70	1	28	40	40	29	91	91	167	-20	-20	31	50	50										36	81	32	109	33	120							2		10																			
Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	"GiÊu trong èng s¸o, khi thæi vµo sÏ phãng ra, nh­ng kh¶ n¨ng s¸t th­¬ng thÊp. "		150	61	0	28	8	8	29	13	13	167	0	0	31	28	28										36	0	32	15	33	35							2		1																			
Tóc §Ó Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	"GiÊu d­íi lßng bµn ch©n, khi nhÊc ch©n lªn sÏ phãng, rÊt khã ®Ò phßng. "		400	62	0	28	11	11	29	22	22	167	0	0	31	46	46										36	9	32	20	33	50							2		2																			
Tinh Trang Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	Lµ lo¹i Tô tiÔn nh­ng søc phãng ®i rÊt m¹nh. 		1000	63	0	28	16	16	29	32	32	167	0	0	31	42	42										36	18	32	25	33	70							2		3																			
Thanh Phong §inh	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	"Lo¹i kim giÊu trong èng ®ång, khi thæi vµo sÏ phãng ®i, rÊt khã phßng bÞ. "		1600	64	0	28	19	19	29	40	40	167	0	0	31	65	65										36	27	32	30	33	90							2		4																			
Bèi Trang Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart22.spr	16	2	2	"Lo¹i ¸m khÝ nguy hiÓm giÊu trªn l­ng, khi cói ®Çu sÏ phãng ra, rÊt khã phßng bÞ. "		3000	65	0	28	23	23	29	48	48	167	0	0	31	88	88										36	36	32	35	33	110							2		5																			
Hµm Sa X¹ ¶nh	0	1	2	\spr\item\equip\rangeweapon\obj-adart25.spr	17	2	2	"GiÊu phÝa tr­íc ngùc, phãng ra rÊt khã ®Ò phßng, lµ lo¹i ¸m khÝ rÊt lîi h¹i. "		3500	66	0	28	27	27	29	58	58	167	0	0	31	84	84										36	45	32	40	33	130							2		6																			
Ph¸ Gi¸p Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart22.spr	16	2	2	"Lo¹i ná cã søc c«ng ph¸ kinh ng­êi, cã thÓ b¾n xuyªn gi¸p s¾t. "		6500	67	0	28	31	31	29	67	67	167	0	0	31	118	118										36	54	32	45	33	150							2		7																			
B¹o Vò Lª Hoa Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart25.spr	17	2	2	"§éc m«n ¸m khÝ cña §­êng m«n, sè l­îng nhiÒu, søc c«ng ph¸ m¹nh, ®· tõng x­ng hïng mét thêi. "		7500	68	0	28	35	35	29	76	76	167	0	0	31	103	103										36	63	32	50	33	170							2		8																			
Gia C¸t Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart23.spr	16	2	2	"C¶i biÕn l¹i tõ d¹ng ná thêi Vò HËu, c­êng lùc rÊt m¹nh. "		10000	69	0	28	38	38	29	85	85	167	0	0	31	148	148										36	72	32	55	33	190							2		9																			
Khæng T­íc Linh	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	"Lo¹i ¸m khÝ thÇn bÝ, ng­êi tróng ph¶i chÕt kh«ng thÓ cøu. "		15000	70	0	28	42	42	29	93	93	167	0	0	31	121	121										36	81	32	60	33	210							2		10																			
