[2018/08/17 17:08:25] 5176492 -- Subscribe Channel: 000001D2 by (674110AC,00000399)
[2018/08/17 17:11:13] 5180476 -- Subscribe Channel: GM <00000000> by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180477 -- Subscribe Channel: 00000004 by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180478 -- Subscribe Channel: 00000324 by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180479 -- Subscribe Channel: 00000002 by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180480 -- Subscribe Channel: 00000001 by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180481 -- Subscribe Channel: 0000000C by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180482 -- Subscribe Channel: GM <00000000> by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180483 -- Subscribe Channel: 00000004 by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180484 -- Subscribe Channel: 00000324 by (674110AC,0000042E)
[2018/08/17 17:11:13] 5180485 -- player login: mrtien21 [TVBTVBTVBTVB] (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180486 -- Query ChannelID: \S from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180487 -- Query ChannelID: 世界 from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180488 -- Query ChannelID: \F1 from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180489 -- Query ChannelID: GM from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180490 -- Query ChannelID: \B from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180491 -- sync friend list: TVBTVBTVBTVB (full)
[2018/08/17 17:11:13] 5180492 -- player login: anhbui1610 [AhihiA] (674110AC, 00000430)
[2018/08/17 17:11:13] 5180493 -- Query ChannelID: \S from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180494 -- Query ChannelID: 世界 from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180495 -- Query ChannelID: \F0 from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180496 -- Query ChannelID: GM from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180497 -- Query ChannelID: \B from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180498 -- sync friend list: AhihiA (full)
[2018/08/17 17:11:13] 5180499 -- Query ChannelID: \S from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180500 -- Query ChannelID: 世界 from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180501 -- Query ChannelID: \F1 from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180502 -- Query ChannelID: GM from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180503 -- Query ChannelID: \B from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180504 -- Query ChannelID: \S from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180505 -- Query ChannelID: 世界 from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180506 -- Query ChannelID: \F1 from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180507 -- Query ChannelID: GM from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180508 -- Query ChannelID: \B from (674110AC, 0000042F)
[2018/08/17 17:11:13] 5180509 -- Subscribe Channel: 00000002 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180510 -- Subscribe Channel: 00000001 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180511 -- Subscribe Channel: 00000009 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180512 -- Subscribe Channel: GM <00000000> by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180513 -- Subscribe Channel: 00000004 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180514 -- Subscribe Channel: 00000002 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180515 -- Subscribe Channel: 00000001 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180516 -- Subscribe Channel: 00000009 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180517 -- Subscribe Channel: GM <00000000> by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180518 -- Subscribe Channel: 00000004 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180519 -- Subscribe Channel: 00000002 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180520 -- Subscribe Channel: 00000001 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180521 -- Subscribe Channel: 00000009 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180522 -- Subscribe Channel: GM <00000000> by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180523 -- Subscribe Channel: 00000004 by (674110AC,0000042F)
[2018/08/17 17:11:13] 5180524 -- Query ChannelID: \S from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180525 -- Query ChannelID: 世界 from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180526 -- Query ChannelID: \F0 from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180527 -- Query ChannelID: GM from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180528 -- Query ChannelID: \B from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180529 -- Query ChannelID: \S from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180530 -- Query ChannelID: 世界 from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180531 -- Query ChannelID: \F0 from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180532 -- Query ChannelID: GM from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180533 -- Query ChannelID: \B from (674110AC, 00000430)
[2018/08/17 17:11:13] 5180534 -- Subscribe Channel: 00000002 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180535 -- Subscribe Channel: 00000001 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180536 -- Subscribe Channel: 00000008 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180537 -- Subscribe Channel: GM <00000000> by (674110AC,00000430)
[2018/08/17 17:11:13] 5180538 -- Subscribe Channel: 00000004 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180539 -- Subscribe Channel: 00000002 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180540 -- Subscribe Channel: 00000001 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180541 -- Subscribe Channel: 00000008 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180542 -- Subscribe Channel: GM <00000000> by (674110AC,00000430)
[2018/08/17 17:11:13] 5180543 -- Subscribe Channel: 00000004 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180544 -- Subscribe Channel: 00000002 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180545 -- Subscribe Channel: 00000001 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180546 -- Subscribe Channel: 00000008 by (674110AC,00000430)
[2018/08/17 17:11:13] 5180547 -- Subscribe Channel: GM <00000000> by (674110AC,00000430)
[2018/08/17 17:11:13] 5180548 -- Subscribe Channel: 00000004 by (674110AC,00000430)
[2018/08/17 17:11:16] 5180549 -- player logout: tadanhdung4
[2018/08/17 17:11:16] 5180550 -- player login: nqv222 [YESYES] (674110AC, 00000431)
[2018/08/17 17:11:16] 5180551 -- Query ChannelID: \S from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180552 -- Query ChannelID: 世界 from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180553 -- Query ChannelID: \F4 from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180554 -- Query ChannelID: GM from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180555 -- Query ChannelID: \B from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180556 -- sync friend list: YESYES (full)
[2018/08/17 17:11:16] 5180557 -- Query ChannelID: \S from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180558 -- Query ChannelID: 世界 from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180559 -- Query ChannelID: \F4 from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180560 -- Query ChannelID: GM from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180561 -- Query ChannelID: \B from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180562 -- Query ChannelID: \S from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180563 -- Query ChannelID: 世界 from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180564 -- Query ChannelID: \F4 from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180565 -- Query ChannelID: GM from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180566 -- Query ChannelID: \B from (674110AC, 00000431)
[2018/08/17 17:11:16] 5180567 -- Subscribe Channel: 00000002 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180568 -- Subscribe Channel: 00000001 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180569 -- Subscribe Channel: 00000003 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180570 -- Subscribe Channel: GM <00000000> by (674110AC,00000431)
[2018/08/17 17:11:16] 5180571 -- Subscribe Channel: 00000004 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180572 -- Subscribe Channel: 00000002 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180573 -- Subscribe Channel: 00000001 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180574 -- Subscribe Channel: 00000003 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180575 -- Subscribe Channel: GM <00000000> by (674110AC,00000431)
[2018/08/17 17:11:16] 5180576 -- Subscribe Channel: 00000004 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180577 -- Subscribe Channel: 00000002 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180578 -- Subscribe Channel: 00000001 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180579 -- Subscribe Channel: 00000003 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180580 -- Subscribe Channel: GM <00000000> by (674110AC,00000431)
[2018/08/17 17:11:16] 5180581 -- Subscribe Channel: 00000004 by (674110AC,00000431)
[2018/08/17 17:11:16] 5180582 -- player logout: legiap
[2018/08/17 17:11:19] 5180583 -- Query ChannelID: \T113 from (674110AC, 0000039C)
[2018/08/17 17:11:19] 5180584 -- Query ChannelID: \T113 from (674110AC, 0000039C)
[2018/08/17 17:11:19] 5180585 -- Subscribe Channel: 00000321 by (674110AC,0000039C)
[2018/08/17 17:11:19] 5180586 -- Query ChannelID: \T113 from (674110AC, 000003A4)
[2018/08/17 17:11:19] 5180587 -- Query ChannelID: \T113 from (674110AC, 000003A4)
[2018/08/17 17:11:19] 5180588 -- Subscribe Channel: 00000321 by (674110AC,0000039C)
[2018/08/17 17:11:19] 5180589 -- Subscribe Channel: 00000321 by (674110AC,000003A4)
[2018/08/17 17:11:19] 5180590 -- Subscribe Channel: 00000321 by (674110AC,000003A4)
[2018/08/17 17:11:19] 5180591 -- Query ChannelID: \T113 from (674110AC, 0000003B)
[2018/08/17 17:11:19] 5180592 -- Query ChannelID: \T113 from (674110AC, 0000003B)
[2018/08/17 17:11:19] 5180593 -- Subscribe Channel: 00000321 by (674110AC,0000003B)
[2018/08/17 17:11:19] 5180594 -- Subscribe Channel: 00000321 by (674110AC,0000003B)
[2018/08/17 17:11:19] 5180595 -- try reclient: db - 172.16.65.103
[2018/08/17 17:11:19] 5180596 -- Query ChannelID: \T113 from (674110AC, 0000026F)
[2018/08/17 17:11:19] 5180597 -- Query ChannelID: \T113 from (674110AC, 0000026F)
[2018/08/17 17:11:19] 5180598 -- Subscribe Channel: 00000321 by (674110AC,0000026F)
[2018/08/17 17:11:19] 5180599 -- Subscribe Channel: 00000321 by (674110AC,0000026F)
[2018/08/17 17:11:19] 5180600 -- FAIL: reclient db - 172.16.65.103
[2018/08/17 17:11:22] 5180601 -- Unsubscribe Channel: 00000271 by (674110AC,000001FD)
[2018/08/17 17:11:22] 5180602 -- Query ChannelID: \T19 from (674110AC, 000001FD)
[2018/08/17 17:11:22] 5180603 -- Query ChannelID: \T113 from (674110AC, 00000391)
[2018/08/17 17:11:22] 5180604 -- Subscribe Channel: 00000321 by (674110AC,00000391)
[2018/08/17 17:11:22] 5180605 -- Subscribe Channel: 000000C1 by (674110AC,000001FD)
[2018/08/17 17:11:22] 5180606 -- Query ChannelID: \T113 from (674110AC, 00000398)
[2018/08/17 17:11:22] 5180607 -- Query ChannelID: \T113 from (674110AC, 00000398)
[2018/08/17 17:11:22] 5180608 -- Subscribe Channel: 00000321 by (674110AC,00000398)
[2018/08/17 17:11:22] 5180609 -- Subscribe Channel: 00000321 by (674110AC,00000398)
[2018/08/17 17:11:25] 5180610 -- Query ChannelID: \T114 from (674110AC, 00000284)
[2018/08/17 17:11:25] 5180611 -- Subscribe Channel: 00000253 by (674110AC,00000284)
[2018/08/17 17:11:25] 5180612 -- Query ChannelID: \T113 from (674110AC, 00000396)
[2018/08/17 17:11:25] 5180613 -- Subscribe Channel: 00000321 by (674110AC,00000396)
[2018/08/17 17:11:28] 5180614 -- player logout: keolac90
[2018/08/17 17:11:31] 5180615 -- player logout: nhokhiqn1
[2018/08/17 17:11:31] 5180616 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180617 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180618 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180619 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180620 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180621 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180622 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180623 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180624 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180625 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180626 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180627 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180628 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180629 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180630 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180631 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180632 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180633 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180634 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180635 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180636 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180637 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180638 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180639 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180640 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180641 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180642 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180643 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180644 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180645 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180646 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180647 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180648 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180649 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180650 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180651 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180652 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180653 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180654 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180655 -- Query ChannelID: \T115 from (674110AC, 0000039F)
[2018/08/17 17:11:31] 5180656 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180657 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180658 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180659 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180660 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180661 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180662 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180663 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180664 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180665 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180666 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180667 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180668 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180669 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180670 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180671 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180672 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180673 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180674 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180675 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180676 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180677 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180678 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180679 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180680 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180681 -- Query ChannelID: \T115 from (674110AC, 000001B5)
[2018/08/17 17:11:31] 5180682 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180683 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180684 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180685 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180686 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180687 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180688 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180689 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180690 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180691 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180692 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180693 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180694 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180695 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180696 -- Subscribe Channel: 0000037E by (674110AC,0000039F)
[2018/08/17 17:11:31] 5180697 -- Subscribe Channel: 0000037E by (674110AC,000001B5)
[2018/08/17 17:11:31] 5180698 -- Query ChannelID: \T69 from (674110AC, 00000430)
[2018/08/17 17:11:31] 5180699 -- player logout: legiap
[2018/08/17 17:11:31] 5180700 -- Unsubscribe Channel: 000000C1 by (674110AC,000001FD)
[2018/08/17 17:11:31] 5180701 -- Subscribe Channel: 00000187 by (674110AC,00000430)
[2018/08/17 17:11:31] 5180702 -- Query ChannelID: \T97 from (674110AC, 0000042D)
[2018/08/17 17:11:31] 5180703 -- player login: keolac90 [X葙Ng莡] (674110AC, 00000435)
[2018/08/17 17:11:31] 5180704 -- Query ChannelID: \S from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180705 -- Query ChannelID: 世界 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180706 -- Query ChannelID: \F6 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180707 -- Query ChannelID: GM from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180708 -- Query ChannelID: \B from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180709 -- Query ChannelID: \O475618624 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180710 -- sync friend list: X葙Ng莡 (full)
[2018/08/17 17:11:31] 5180711 -- Subscribe Channel: 000002EA by (674110AC,0000042D)
[2018/08/17 17:11:31] 5180712 -- Query ChannelID: \S from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180713 -- Query ChannelID: 世界 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180714 -- Query ChannelID: \F6 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180715 -- Query ChannelID: GM from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180716 -- Query ChannelID: \B from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180717 -- Query ChannelID: \O475618624 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180718 -- Query ChannelID: \S from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180719 -- Query ChannelID: 世界 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180720 -- Query ChannelID: \F6 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180721 -- Query ChannelID: GM from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180722 -- Query ChannelID: \B from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180723 -- Query ChannelID: \O475618624 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180724 -- Query ChannelID: \S from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180725 -- Query ChannelID: 世界 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180726 -- Query ChannelID: \F6 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180727 -- Query ChannelID: GM from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180728 -- Query ChannelID: \B from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180729 -- Query ChannelID: \O475618624 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180730 -- Query ChannelID: \S from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180731 -- Query ChannelID: 世界 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180732 -- Query ChannelID: \F6 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180733 -- Query ChannelID: GM from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180734 -- Query ChannelID: \B from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180735 -- Query ChannelID: \O475618624 from (674110AC, 00000435)
[2018/08/17 17:11:31] 5180736 -- Subscribe Channel: 00000002 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180737 -- Subscribe Channel: 00000001 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180738 -- Subscribe Channel: 0000000C by (674110AC,00000435)
[2018/08/17 17:11:31] 5180739 -- Subscribe Channel: GM <00000000> by (674110AC,00000435)
[2018/08/17 17:11:31] 5180740 -- Subscribe Channel: 00000004 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180741 -- Subscribe Channel: 000000F5 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180742 -- try reclient: db - 172.16.65.103
[2018/08/17 17:11:31] 5180743 -- Subscribe Channel: 00000002 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180744 -- Subscribe Channel: 00000001 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180745 -- Subscribe Channel: 0000000C by (674110AC,00000435)
[2018/08/17 17:11:31] 5180746 -- Subscribe Channel: GM <00000000> by (674110AC,00000435)
[2018/08/17 17:11:31] 5180747 -- Subscribe Channel: 00000004 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180748 -- Subscribe Channel: 000000F5 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180749 -- Subscribe Channel: 00000002 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180750 -- Subscribe Channel: 00000001 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180751 -- Subscribe Channel: 0000000C by (674110AC,00000435)
[2018/08/17 17:11:31] 5180752 -- Subscribe Channel: GM <00000000> by (674110AC,00000435)
[2018/08/17 17:11:31] 5180753 -- Subscribe Channel: 00000004 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180754 -- Subscribe Channel: 000000F5 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180755 -- Subscribe Channel: 00000002 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180756 -- Subscribe Channel: 00000001 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180757 -- Subscribe Channel: 0000000C by (674110AC,00000435)
[2018/08/17 17:11:31] 5180758 -- Subscribe Channel: GM <00000000> by (674110AC,00000435)
[2018/08/17 17:11:31] 5180759 -- Subscribe Channel: 00000004 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180760 -- Subscribe Channel: 000000F5 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180761 -- Subscribe Channel: 00000002 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180762 -- Subscribe Channel: 00000001 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180763 -- Subscribe Channel: 0000000C by (674110AC,00000435)
[2018/08/17 17:11:31] 5180764 -- Subscribe Channel: GM <00000000> by (674110AC,00000435)
[2018/08/17 17:11:31] 5180765 -- Subscribe Channel: 00000004 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180766 -- Subscribe Channel: 000000F5 by (674110AC,00000435)
[2018/08/17 17:11:31] 5180767 -- FAIL: reclient db - 172.16.65.103
[2018/08/17 17:11:34] 5180768 -- Query ChannelID: \T49 from (674110AC, 00000404)
[2018/08/17 17:11:34] 5180769 -- Subscribe Channel: 0000003F by (674110AC,00000404)
[2018/08/17 17:11:37] 5180770 -- Query ChannelID: \T115 from (674110AC, 000002C5)
[2018/08/17 17:11:37] 5180771 -- Query ChannelID: \T115 from (674110AC, 000002C5)
[2018/08/17 17:11:37] 5180772 -- Query ChannelID: \T115 from (674110AC, 000002C5)
[2018/08/17 17:11:37] 5180773 -- Query ChannelID: \T115 from (674110AC, 000002C5)
[2018/08/17 17:11:37] 5180774 -- Query ChannelID: \T115 from (674110AC, 000002C5)
[2018/08/17 17:11:37] 5180775 -- Query ChannelID: \T115 from (674110AC, 000002C5)
