Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	96	0		1415	1415																															1	39	5	4	155	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	97	0		1416	1416																															1	39	5	4	156	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	98	0		1417	1417																															1	39	5	4	157	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	99	0		1418	1418																															1	39	5	4	158	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	100	0		1419	1419																															1	39	5	4	159	3	3															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	101	0		1420	1420																															1	39	5	4	113	30	30	110	30	30	106	30	30	108	30	30						
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	102	0		1421	1421																															1	39	5	4	85	200	200	111	30	30	89	200	200									
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	103	0		1422	1422																															1	39	5	4	114	20	20															
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	104	0		1423	1423																															1	39	5	4	115	35	35	116	15	15												
MÆt N¹ Hoµng Kim [+3]	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ thay ®æi ngo¹i h×nh cña b¶n th©n<enter><color=green>Thuéc tİnh:<color> <enter>		6000000	105	0		1424	1424																															1	39	5	4	205	3	3															
TiÓu Tinh Linh	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	106	0		680	680																																																				
¤ng Giµ Noel	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	107	0		685	685																																																				
[HuyÒn Gi¸c §¹i S­] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> HuyÒn Gi¸c §¹i S­ <color=yellow>		100	108	0		644	644																																																				
[V­¬ng T¸] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>V­¬ng T¸ <color=yellow>		100	109	0		643	643																																																				
[§­êng BÊt NhiÔm] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §­êng BÊt NhiÔm <color=yellow>		100	110	0		645	645																																																				
[B¹ch Doanh Doanh] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> B¹ch Doanh Doanh <color=yellow>		100	111	0		646	646																																																				
[Hµ Linh Phiªu] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hµ Linh Phiªu <color=yellow>		100	112	0		642	642																																																				
[Yªn HiÓu Th¸i] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Yªn HiÓu Th¸I <color=yellow>		100	113	0		648	648																																																				
[Hµ Nh©n Ng·] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hµ Nh©n Ng· <color=yellow>		100	114	0		649	649																																																				
[Hoµng LiÖt] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hoµng LiÖt <color=yellow>		100	115	0		639	639																																																				
[§¹o Thanh Ch©n Nh©n] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	116	0		637	637																																																				
[TuyÒn C« Tö] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> TuyÒn C« Tö <color=yellow>		100	117	0		651	651																																																				
[Tr¸c BÊt Phµm] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Tr¸c BÊt Phµm <color=yellow>		100	118	0		1623	1623																																																				
[Lam H¶i YÕn] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Lam H¶i YÕn <color=yellow>		100	119	0		1625	1625																																																				
[HuyÒn Nan §¹i S­] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> HuyÒn Nan §¹i S­ <color=yellow>		100	120	0		1624	1624																																																				
[HuyÒn Gi¸c §¹i S­] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> HuyÒn Gi¸c §¹i S­ <color=yellow>		100	121	0		644	644																															1	39	5	4	104	5	5															
[V­¬ng T¸] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>V­¬ng T¸ <color=yellow>		100	122	0		643	643																															1	39	5	4	104	5	5															
[§­êng BÊt NhiÔm] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §­êng BÊt NhiÔm <color=yellow>		100	123	0		645	645																															1	39	5	4	101	5	5															
[B¹ch Doanh Doanh] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> B¹ch Doanh Doanh <color=yellow>		100	124	0		646	646																															1	39	5	4	101	5	5															
[Hµ Linh Phiªu] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hµ Linh Phiªu <color=yellow>		100	125	0		642	642																															1	39	5	4	105	5	5															
[Yªn HiÓu Th¸i] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Yªn HiÓu Th¸I <color=yellow>		100	126	0		648	648																															1	39	5	4	105	5	5															
[Hµ Nh©n Ng·] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hµ Nh©n Ng· <color=yellow>		100	127	0		649	649																															1	39	5	4	102	5	5															
[Hoµng LiÖt] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hoµng LiÖt <color=yellow>		100	128	0		639	639																															1	39	5	4	102	5	5															
[§¹o Thanh Ch©n Nh©n] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	129	0		637	637																															1	39	5	4	103	5	5															
[TuyÒn C« Tö] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> TuyÒn C« Tö <color=yellow>		100	130	0		651	651																															1	39	5	4	103	5	5															
[Tr¸c BÊt Phµm] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Tr¸c BÊt Phµm <color=yellow>		100	131	0		1623	1623																															1	39	5	4	114	5	5															
[Lam H¶i YÕn] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Lam H¶i YÕn <color=yellow>		100	132	0		1625	1625																															1	39	5	4	86	15	15															
[HuyÒn Nan §¹i S­] - MÆt N¹ Hoµng Kim	0	11	0	\spr\item\equip\mask\yrmj_03.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> HuyÒn Nan §¹i S­ <color=yellow>		100	133	0		1624	1624																															1	39	5	4	160	1	1															
¤ng §Şa - MÆt N¹ 	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> ¤ng §Şa <color=yellow>		100	134	0		1878	1878																																																				
Con L©n - MÆt N¹ 	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>Con L©n<color=yellow>		100	135	0		1883	1883																																																				
Con Nghª - MÆt N¹ 	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>Con Nghª  <color=yellow>		100	136	0		1888	1888																																																				
Con T× H­u - MÆt N¹ 	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>Con T× H­u<color=yellow>		100	137	0		1893	1893																																																				
MÆt N¹ GM	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>§¹i diÖn GM<color=yellow>		100	138	0		1901	1901																															1	39	5	4																		
Thiªn Tö Ngäc TØ 	0	11	0	\spr\item\tianziyuxi.spr	379	1	1	Sö dông ngäc tØ ®Ó t¨ng thªm vâ c«ng th­îng thõa.		100	139	0		0	0																															1	39	5	4	205	1	1															
