????	ItemGenre	DetailType	ParticularType	??????????	?????????????	???????	????	??????????	????????	????	????	????¡§¡§?????¡§¡§?	???????????1?????¡§¡§??	???????????1???????	???????????1??????????	???????????2?????¡§¡§??	???????????2???????	???????????2??????????	???????????3?????¡§¡§??	???????????3???????	???????????3??????????	???????????4?????¡§¡§??	???????????4???????	???????????4??????????	???????????5?????¡§¡§??	???????????5???????	???????????5??????????	???????????6?????¡§¡§??	???????????6???????	???????????6??????????	???????????7?????¡§¡§??	???????????7???????	???????????7??????????	????????????????1?????¡§¡§??	????????????????1????	????????????????2?????¡§¡§??	????????????????2????	????????????????3?????¡§¡§??	????????????????3????	????????????????4?????¡§¡§??	????????????????4????	????????????????5?????¡§¡§??	????????????????5????	????????????????6?????¡§¡§??	????????????????6????	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Chó Ph­îc U ¶o ChØ Hoµn 	0	3	12	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	3									1	16	10	1	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
Minh ¶o §éc YÕt ChØ Hoµn 	0	3	13	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	3									1	18	10	4	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Gian B¹ch Ngäc Ban ChØ 	0	3	14	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	4									1	19	10	2	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« Ma B¨ng Tinh ChØ Hoµn 	0	3	15	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	4									1	20	10	4	43	-1	-1	205	1	1												
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	4									1	21	10	1	85	120	120	103	30	30	89	120	120	1093	1	1	110	30	30	134	8	8
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn PhËt Quang ChØ Hoµn 	0	3	16	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	4									1	21	10	1	85	120	200	103	30	35	89	120	200	1093	1	3	110	30	40	134	8	12
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	17	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	4									1	21	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
Tª Hoµng Thñy Ngäc ChØ Hoµn 	0	3	18	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	5									1	22	10	2	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§ång Cõu KiÕn Long Ban ChØ 	0	3	19	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	6									1	24	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
§Þch Kh¸i Th¶o Gian Th¹ch Giíi 	0	3	20	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	6									1	25	10	4	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma ThÞ NghiÖp Háa U Linh Giíi 	0	3	21	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	7									1	27	10	2	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
