名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)
黄金图谱-无间之倚天剑	6	1	269	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：命中吸取其内力百分比6级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无间之清风缁衣	6	1	270	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无间之拂云丝带	6	1	271	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>灭剑秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无间之琴韵护腕	6	1	272	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>灭剑秘籍<enter>芙蓉石：减少迟缓时间时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无间之白玉般指	6	1	273	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无魇之摩尼冠	6	1	274	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加普防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>芙蓉石：减少迟缓时间8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系冰攻伤害点数8级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无魇之紫襟袈裟	6	1	275	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无魇之冰晶指环	6	1	276	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无魇之洗象玉扣	6	1	277	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数6级以上<enter>芙蓉石：增加外功点数6级以上<enter>峨嵋佛光掌秘籍<enter>孔雀石：增加内功系冰攻伤害点数8级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无魇之红缁软禢鞋	6	1	278	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加移动速度8级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>峨嵋佛光掌秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无尘之玉女素心冠	6	1	279	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间7级以上<enter>普渡秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无尘之清心向善珠	6	1	280	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>普渡秘籍<enter>朱砂矿：增加内力最大值点数8级以上<enter>孔雀石：增加雷防最大值8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加所有抗性7级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无尘之慈悲玉般指	6	1	281	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无尘之佛心慈佑腰配	6	1	282	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-无尘之佛光指环	6	1	283	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加雷防最大值7级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>峨嵋佛光掌秘籍<enter>钟乳石：减少眩晕时间6级以上<enter>芙蓉石：伤害转化为内力百分比（木属性）6级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-栖凰之凤仪刀	6	1	284	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：命中吸取其内力百分比6级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-栖凰之慧心轻纱衣	6	1	285	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-栖凰之风雪白云束带	6	1	286	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>翠烟刀法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-栖凰之冰踪锦腕	6	1	287	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>翠烟刀法<enter>芙蓉石：减少迟缓时间7级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-栖凰之翠玉指环	6	1	288	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-碧海之鸳鸯连环刀	6	1	289	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>翠烟双刀<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系冰攻伤害点数8级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-碧海之环珠雨链	6	1	290	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-碧海之红铃金丝带	6	1	291	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>翠烟双刀		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-碧海之红铃波	6	1	292	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数6级以上<enter>秘银矿：增加内力最大值点数7级以上<enter>钟乳石：增加火防最大值6级以上<enter>玄铁矿：受近身攻击时伤害反弹7级以上<enter>秘银矿：减少受伤动作时间7级以上<enter>翠烟双刀		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-碧海之纤细指环	6	1	293	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-幽胧之金蛇发带	6	1	294	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒掌法·卷一<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系毒攻伤害点数8级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-幽胧之赤蝎秘装	6	1	295	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-幽胧之青蜈缠腰	6	1	296	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>五毒掌法·卷一		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-幽胧之银蟾护手	6	1	297	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-幽胧之墨蛛软履	6	1	298	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数6级以上<enter>芙蓉石：增加外功点数7级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>秘银矿：增加移动速度7级以上<enter>五毒掌法·卷一		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冥幻之邪刹毒刃	6	1	299	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>武林秘籍<enter>秘银矿：命中吸取其内力百分比7级以上<enter>朱砂矿：增加外攻系武功出招动作7级以上<enter>孔雀石：增加外功系普攻伤害点数8级以上<enter>芙蓉石：增加外功系冰攻伤害点数7级以上<enter>五毒刀法·卷二		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冥幻之幽蛊暗衣	6	1	300	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒刀法·卷二<enter>秘银矿：减少受伤动作时间7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>朱砂矿：增加内力最大值7级以上<enter>钟乳石：减少眩晕时间6级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冥幻之毒蝎指环	6	1	301	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冥幻之腐骨护腕	6	1	302	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>五毒刀法·卷二		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冥幻之双环蛇鞋	6	1	303	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-咒缚之破甲头环	6	1	304	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒慑心术·卷三<enter>秘银矿：增加内力最大值点数7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>武林秘籍<enter>钟乳石：减少眩晕时间6级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-咒缚之灭雷颈符	6	1	305	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒慑心术·卷三<enter>朱砂矿：增加内力最大值点数8级以上<enter>孔雀石：增加毒防最大值8级以上<enter>芙蓉石：增加普防最大值8级以上<enter>朱砂矿：增加所有抗性7级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-咒缚之幽幻指环	6	1	306	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-咒缚之穿心毒腕	6	1	307	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间7级以上<enter>五毒慑心术·卷三		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-咒缚之冰火蚀骨靴	6	1	308	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冰寒之弹指飞刀	6	1	309	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冰寒之玄衣束甲	6	1	310	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>飞刀术·摄魂月影<enter>秘银矿：减少受伤动作时间7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>朱砂矿：增加内力最大值6级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冰寒之心箭腰扣	6	1	311	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>飞刀术·摄魂月影		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冰寒之玄天冰火佩	6	1	312	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-冰寒之月影靴	6	1	313	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-天光之花雨漫天	6	1	314	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加内力最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-天光之定心凝神符	6	1	315	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>孔雀石：增加普防最大值8级以上<enter>袖箭术·暴雨梨花<enter>秘银矿：增加所有抗性7级以上<enter>朱砂矿：增加内力最大值点数6级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-天光之森罗束腰	6	1	316	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>袖箭术·暴雨梨花		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-天光之风暴寒铁镯	6	1	317	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-天光之束天缚地环	6	1	318	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-森荒之飞星夺魂	6	1	319	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-森荒之金钱连环甲	6	1	320	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-森荒之魂咬腰束	6	1	321	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>飞镖术·九宫飞星		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-森荒之玄铁镶玉佩	6	1	322	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-森荒之星陨飞履	6	1	323	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>飞镖术·九宫飞星<enter>秘银矿：增加移动速度7级以上<enter>芙蓉石：增加雷防最大值6级以上<enter>朱砂矿：增加内力最大值点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之五行连环冠	6	1	324	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>陷阱术·乱环击<enter>芙蓉石：减少迟缓时间6级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之黑焰冲天链	6	1	325	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>陷阱术·乱环击<enter>朱砂矿：增加内力最大值点数8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值8级以上<enter>朱砂矿：增加所有抗性7级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之霹雳雷火戒	6	1	326	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之扣心镯	6	1	327	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>陷阱术·乱环击		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之地行千里靴	6	1	328	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之飞龙头环	6	1	329	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之降龙丐衣	6	1	330	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>秘银矿：增加内力最大值点数7级以上<enter>钟乳石：增加外功最大值点数6级以上<enter>孔雀石：增加普防最大值8级以上<enter>秘银矿：减少受伤动作时间7级以上<enter>丐帮掌法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之潜龙腰带	6	1	331	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加冰防最大值7级以上<enter>芙蓉石：减少迟缓时间8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>丐帮掌法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之亢龙护手	6	1	332	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>丐帮掌法<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系火攻伤害点数8级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之见龙扳指	6	1	333	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之绿玉杖	6	1	334	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>武林秘籍<enter>秘银矿：命中吸取其内力百分比8级以上<enter>朱砂矿：增加外攻系武功出招动作7级以上<enter>孔雀石：增加外功系普攻伤害点数8级以上<enter>芙蓉石：增加外功系冰攻伤害点数8级以上<enter>丐帮棍法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之九袋丐衣	6	1	335	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之缠莽腰带	6	1	336	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>丐帮棍法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之狗脊皮护腕	6	1	337	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少眩晕时间7级以上<enter>武林秘籍<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>芙蓉石：减少中毒时间最大值6级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之草间石戒	6	1	338	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之鬼谷幽冥枪	6	1	339	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加外功系普攻伤害百分比8级以上<enter>秘银矿：增加攻击命中率点数7级以上<enter>朱砂矿：增加外攻系武功出招动作6级以上<enter>孔雀石：增加外功系普攻伤害点数7级以上<enter>芙蓉石：增加外功系冰攻伤害点数7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之残阳映血甲	6	1	340	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：减少受伤动作时间7级以上<enter>芙蓉石：减少眩晕时间6级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之赤骥锁腰扣	6	1	341	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：减少眩晕时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>云龙击·矛法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之举火燎天腕	6	1	342	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之云龙吐珠戒	6	1	343	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之烈焰冠冕	6	1	344	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>流星·刀法<enter>芙蓉石：减少眩晕时间7级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之厉魔噬心链	6	1	345	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之业火幽冥戒	6	1	346	\spr\item\script\item_huangjintupu.spr	38	1	1	。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之血玉七杀佩	6	1	347	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加火防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>孔雀石：减少中毒时间8级以上<enter>流星·刀法		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之山海飞鸿履	6	1	348	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>流星·刀法<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加移动速度8级以上<enter>芙蓉石：增加冰防最大值8级以上<enter>武林秘籍		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之金甲盔	6	1	349	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>摄魂·诅咒<enter>朱砂矿：增加内力最大值点数8级以上<enter>武林秘籍<enter>芙蓉石：增加冰防最大值8级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之按出虎项圈	6	1	350	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>芙蓉石：增加雷防最大值7级以上<enter>孔雀石：增加外功最大值点数8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加所有抗性6级以上		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之溪谷束腰带	6	1	351	\spr\item\script\item_huangjintupu.spr	38	1	1	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>孔雀石：减少中毒时间8级以上<enter>摄魂·诅咒		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
