Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	66	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	67	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	68	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	69	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	70	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	61	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	100	115	30	30	166	400	400	121	40	40	137	4	4	1273	1	1
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	62	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	63	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	64	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	65	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	66	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	67	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	68	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	69	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
Phôc Ma Tö Kim C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	70	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	0							1	8	10	0	126	100	150	115	30	40	166	400	600	121	40	60	137	4	8	1273	1	3
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	61	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	-15	166	240	240	126	50	50	121	30	30	136	4	4	123	80	80
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	62	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	63	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	64	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	65	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	66	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	67	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	68	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	69	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	70	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	1					1	9	10	2	99	-15	5	166	240	360	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	61	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	1	166	180	180	126	50	50	121	30	30	136	4	4	123	80	80
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	62	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	63	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	64	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	65	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	66	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	67	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	68	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	69	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang BÞ Hoµng Kim		32000	70	0	28	55	55	29	165	165	167	-30	-30	31	1000	1000										36	90	32	235	39	1							1	10	10	2	58	1	2	166	180	300	126	50	100	121	30	50	136	4	8	123	80	120
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	61	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	300	116	20	20	1097	1	1	142	200	200	89	300	300	1114	1	1
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	62	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	63	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	64	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	65	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	66	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	67	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	68	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	69	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao 	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang BÞ Hoµng Kim		30000	70	0	28	62	62	29	92	92	167	20	20	31	1000	1000										36	90	32	160	39	5							1	23	10	2	85	300	400	116	20	40	1097	1	3	142	200	300	89	300	400	1114	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	121	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	120	144	200	200	89	120	120	102	25	25	110	30	30	1166	1	1
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	122	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	123	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	124	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	125	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	126	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	127	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	128	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	129	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
L¨ng Nh¹c Th¸i Cùc KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang BÞ Hoµng Kim		30000	130	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	30	10	2	85	120	200	144	200	300	89	120	200	102	25	30	110	30	50	1166	1	3
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	121	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	-15	166	450	450	126	50	50	121	30	30	136	4	4	123	80	80
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	122	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	123	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	124	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	125	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	126	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	127	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	128	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	129	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
Ngù Long L­îng Ng©n B¶o §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	130	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	1							1	11	10	2	99	-15	5	166	450	600	126	50	100	121	30	50	136	4	8	123	80	120
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	121	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	50	121	30	30	137	4	4	123	80	80	115	20	20	1130	1	1
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	122	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	123	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	124	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	125	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	126	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	127	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	128	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	129	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
