√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	5									1	23	10	0	85	-50	-50	120	8	8	89	300	300	113	35	35	102	-5	-5	1109	1	1
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
B›ch H∂i HÂng L®ng Ba 	0	9	10	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	5									1	23	10	0	85	-50	50	120	8	12	89	300	400	113	35	50	102	-5	5	1109	1	3
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	7									1	27	10	0	85	120	120	106	40	40	1145	1	1	102	25	25	89	120	120	108	30	30
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
Ma Thﬁ Huy’t Ng‰c Th t S∏t BÈi 	0	9	11	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	7									1	27	10	0	85	120	200	106	40	60	1145	1	3	102	25	30	89	120	200	108	30	50
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	8									1	29	10	3	85	120	120	1380	1	1	1151	1	1	101	25	25	89	300	300	1155	1	1
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
CÀp Phong ThÛy Ng‰c Huy“n Hoµng BÈi 	0	9	12	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	8									1	29	10	3	85	120	200	1380	1	3	1151	1	3	101	25	30	89	300	400	1155	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	8									1	30	10	2	85	120	120	1382	1	1	1164	1	1	101	25	25	89	300	300	1165	1	1
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
L®ng Nhπc V´ C˘c Huy“n Ng‰c BÈi 	0	9	13	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	8									1	30	10	2	85	120	200	1382	1	3	1164	1	3	101	25	30	89	300	400	1165	1	3
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	9									1	31	10	1	85	200	200	106	40	40	1090	1	1	104	25	25	89	120	120	110	30	30
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
VÙ ∂o Thanh ∂nh Huy“n Ng‰c BÈi 	0	9	14	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	9									1	31	10	1	85	200	300	106	40	50	1090	1	3	104	25	30	89	120	200	110	30	40
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	9									1	33	10	2	85	120	120	1384	1	1	1172	1	1	1182	1	1						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
L´i Khung Linh Ng‰c U»n L´i 	0	9	15	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	9									1	33	10	2	85	120	200	1384	1	3	1172	1	3	1182	1	3						
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	1	0																						36	90	39	4									1	20	10	1	85	-50	-50	116	20	20	99	-15	-15	142	120	120	1079	1	1	1091	1	1
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	2	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	3	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	4	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	5	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	6	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	7	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	8	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	9	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
V´ Ma T»y T≠Óng Ng‰c Kh u 	0	9	16	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bﬁ Hoµng Kim	3	20000	10	0																						36	90	39	4									1	20	10	1	85	-50	50	116	20	40	99	-15	5	142	120	200	1079	1	3	1091	1	3
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi 	0	9	17	\Spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	1	0																						36	75											1	34	1	1	89	120	200	101	25	25	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +2	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	2	0																						36	75											1	34	2	1	89	120	200	101	26	26	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +3	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	3	0																						36	75											1	34	3	1	89	120	200	101	27	27	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +4	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	4	0																						36	75											1	34	4	1	89	120	200	101	28	28	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +5	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	5	0																						36	75											1	34	5	1	89	120	200	101	29	29	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +6	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	6	0																						36	75											1	34	6	1	89	120	200	101	30	30	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +7	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	7	0																						36	75											1	34	7	1	89	120	200	101	31	31	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +8	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	8	0																						36	75											1	34	8	1	89	120	200	101	32	32	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +9	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	9	0																						36	75											1	34	9	1	89	120	200	101	33	33	114	1	5									
[Hoµn M¸] An Bang ßi“n Hoµng Thπch Ng‰c BÈi +10	0	9	17	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	10	0																						36	75											1	34	10	1	89	120	200	101	34	34	114	1	5									
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\Spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	1	0																						36	75											1	36	5	1	89	120	120	101	20	20												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	2	0																						36	75											1	36	5	1	89	200	200	101	30	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	3	0																						36	75											1	36	5	1	89	120	200	101	30	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	4	0																						36	75											1	36	5	1	89	120	200	101	25	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	5	0																						36	75											1	36	5	1	89	120	200	101	25	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	6	0																						36	75											1	36	5	1	89	120	200	101	25	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	7	0																						36	75											1	36	5	1	89	120	200	101	25	30												
